Hippo_ICV.A1BG	`Hippo_ICV` ~ `A1BG`
Hippo_ICV.ABCG8	`Hippo_ICV` ~ `ABCG8`
Hippo_ICV.ABHD10	`Hippo_ICV` ~ `ABHD10`
Hippo_ICV.ABHD11	`Hippo_ICV` ~ `ABHD11`
Hippo_ICV.ABHD1	`Hippo_ICV` ~ `ABHD1`
Hippo_ICV.ABHD12	`Hippo_ICV` ~ `ABHD12`
Hippo_ICV.ABHD12B	`Hippo_ICV` ~ `ABHD12B`
Hippo_ICV.ABHD13	`Hippo_ICV` ~ `ABHD13`
Hippo_ICV.ABHD14A	`Hippo_ICV` ~ `ABHD14A`
Hippo_ICV.ABHD14A_ACY1	`Hippo_ICV` ~ `ABHD14A_ACY1`
Hippo_ICV.ABHD14B	`Hippo_ICV` ~ `ABHD14B`
Hippo_ICV.ABHD15	`Hippo_ICV` ~ `ABHD15`
Hippo_ICV.ABHD16A	`Hippo_ICV` ~ `ABHD16A`
Hippo_ICV.ABHD16B	`Hippo_ICV` ~ `ABHD16B`
Hippo_ICV.ABHD17A	`Hippo_ICV` ~ `ABHD17A`
Hippo_ICV.ABHD17B	`Hippo_ICV` ~ `ABHD17B`
Hippo_ICV.ABHD17C	`Hippo_ICV` ~ `ABHD17C`
Hippo_ICV.ABHD2	`Hippo_ICV` ~ `ABHD2`
Hippo_ICV.ABHD3	`Hippo_ICV` ~ `ABHD3`
Hippo_ICV.ABHD4	`Hippo_ICV` ~ `ABHD4`
Hippo_ICV.ABHD5	`Hippo_ICV` ~ `ABHD5`
